status	kind	bytes	sha256	relative_path	title	url
existing	pdfs	887939	58f3f1562985217a3921fce6948894a20ecc72a140a9c430095e371797d30912	pdfs/aaro-declassification-information-paper-2025.pdf	AARO Declassification Information Paper 2025	https://www.aaro.mil/Portals/136/PDFs/Information%20Papers/AARO_Declassification_Info_Paper_2025.pdf
existing	pdfs	869884	9c50120ca616867e05e8b06aa7a3e2b27e75bb0cd2b7f6a99c8b06fd5ef0614a	pdfs/aaro-s-supplement-to-ornl-s-analysis-of-an-aluminum-specimen.pdf	AARO's Supplement to ORNL's Analysis of an Aluminum Specimen	https://www.aaro.mil/Portals/136/PDFs/Information%20Papers/AARO_Aluminum_Materials_Analysis_Supplement_Jan2026.pdf
existing	pdfs	212617	b51a197ba6259ad28412a337fab7e14d761a6e14ffc7951f8ce5de5d567af1b1	pdfs/aaro-s-supplement-to-ornl-s-analysis-of-a-metallic-specimen.pdf	AARO's Supplement to ORNL’s Analysis of a Metallic Specimen	https://www.aaro.mil/Portals/136/PDFs/Information%20Papers/AAROs_Supplement_to_ORNLs_Analysis_of_a_Metallic_Specimen.pdf
existing	pdfs	1424211	0836fce40364db46fbe05d463828061d3e22e18affe7df98ec0b40c71c5516ec	pdfs/correlations-of-starlink-satellite-flaring-with-uap-observations.pdf	Correlations of Starlink Satellite Flaring with UAP Observations	https://www.aaro.mil/Portals/136/PDFs/Information%20Papers/AARO_Satellite_Flaring_Paper_508_FINAL_04222025.pdf
existing	pdfs	13207068	a4c22003873e0364c2c4566b48cbf966d54ef79a90650862b41fb2bd1727e03b	pdfs/department-of-homeland-security-dhs-kona-blue-information-release.pdf	Department of Homeland Security (DHS) KONA BLUE Information Release	https://www.aaro.mil/Portals/136/PDFs/UAP_RECORDS_RESEARCH/AARO_DHS_Kona_Blue.pdf
existing	pdfs	485918	16cd46aae9b32fbbb23897095a8228deaeba6a6eb6ba22055c919d3f7b417acd	pdfs/effect-of-forced-perspective-and-parallax-view-on-uap-observations.pdf	Effect of Forced Perspective and Parallax View on UAP Observations	https://www.aaro.mil/Portals/136/PDFs/Information%20Papers/AARO_Effect_of_Forced_Perspective_and_Parallax_View_on_UAP_Observations_2024.pdf
existing	pdfs	291963	291bbffdcb4fc58d72aac85ce6e447e61b3109ce6f081bb10f52b8c166192dba	pdfs/history-and-origin-of-kona-blue.pdf	History and Origin of Kona Blue	https://www.aaro.mil/Portals/136/PDFs/UAP_RECORDS_RESEARCH/History_and_Origin_of_KONA_BLUE_FINAL_508.pdf
existing	pdfs	10238589	02f2c18c7427d47ab4e76b73b2515018d9fc9caf8fadefeb87e59ad02f2c7711	pdfs/ornl-synopsis-analysis-of-a-metallic-specimen.pdf	ORNL Synopsis: Analysis of a Metallic Specimen	https://www.aaro.mil/Portals/136/PDFs/Information%20Papers/ORNL-Synopsis_Analysis_of_a_Metallic_Specimen.pdf
existing	pdfs	8974357	539cccf897f3d9aa9fa8bec59bd9caa46c503d462aa4e4e3dea509c192ea450f	pdfs/ornl-synopsis-analysis-of-an-aluminum-specimen.pdf	ORNL Synopsis: Analysis of an Aluminum Specimen	https://www.aaro.mil/Portals/136/PDFs/Information%20Papers/ORNL_ANALYSIS_OF_AN_ALUMINUM_SPECIMEN.pdf
existing	pdfs	615589	d2269ebdbde75b8abec82b2dcc62c0e9791782e9469631d51a29813a5696613c	pdfs/privacy-impact-assessment-pia.pdf	Privacy Impact Assessment (PIA)	https://www.aaro.mil/Portals/136/PDFs/AARO_PIA_Section_1.pdf
existing	pdfs	955674	24f7ea3e8736a05b1135edaf3c05968b6774d8eeb957d45fa568d6464228b0fe	pdfs/white-paper-2025-uap-workshop-narrative-data-infrastructures-and-analysis.pdf	White Paper: 2025 UAP Workshop - Narrative Data, Infrastructures, and Analysis	https://www.aaro.mil/Portals/136/PDFs/Information%20Papers/2025_UAP_Workshop_Paper.pdf
