Id	Date	Time	MsgType	Range	AzDegs	MC	M3	Lat	Lon	RL
FTW	09 Jan 2008	01:30:01.870	Bcn	20.000	261.211	2600	1200	32 53 34.121 N	097 36 40.889 W	24
FTW	09 Jan 2008	01:30:01.870	Reinf	149.500	259.629	34000	2330	32 27 43.588 N	100 06 47.738 W	24
FTW	09 Jan 2008	01:30:01.925	Reinf	121.625	258.486	36000	5230	32 31 04.132 N	099 33 53.457 W	24
FTW	09 Jan 2008	01:30:02.140	Sch	48.375	269.912			32 56 22.341 N	098 10 39.055 W	12
FTW	09 Jan 2008	01:30:02.170	Reinf	143.875	272.373	40000	0555	33 00 40.931 N	100 03 51.325 W	24
FTW	09 Jan 2008	01:30:02.250	Clock Box							
FTW	09 Jan 2008	01:30:02.295	Sch	34.375	273.604			32 58 43.131 N	097 53 57.723 W	16
FTW	09 Jan 2008	01:30:02.355	Sch	9.500	275.801			32 57 36.894 N	097 24 22.947 W	8
FTW	09 Jan 2008	01:30:02.380	Bcn	108.500	280.371	30000	3441	33 15 07.661 N	099 20 16.388 W	24
FTW	09 Jan 2008	01:30:02.405	Reinf	95.250	280.898	40000	5252	33 13 49.670 N	099 04 21.557 W	24
FTW	09 Jan 2008	01:30:02.460	IPS							
FTW	09 Jan 2008	01:30:02.485	IPS							
FTW	09 Jan 2008	01:30:02.490	Reinf	74.500	283.359	26000	3646	33 13 22.816 N	098 39 25.822 W	24
FTW	09 Jan 2008	01:30:02.510	IPS							
FTW	09 Jan 2008	01:30:02.510	Reinf	187.625	284.150	37000	2254	33 39 24.394 N	100 50 55.523 W	24
FTW	09 Jan 2008	01:30:02.565	Sch	52.500	282.744			33 08 00.897 N	098 14 09.084 W	16
FTW	09 Jan 2008	01:30:02.595	Reinf	134.750	287.314	26000	2216	33 35 13.679 N	099 47 03.249 W	24
FTW	09 Jan 2008	01:30:02.675	Reinf	166.625	286.348	30000	0543	33 41 09.889 N	100 24 38.784 W	24
FTW	09 Jan 2008	01:30:02.700	Reinf	60.875	289.951	29000	0537	33 17 05.633 N	098 21 13.421 W	24
FTW	09 Jan 2008	01:30:02.725	Reinf	31.125	288.896	19000	2370	33 06 37.937 N	097 48 05.275 W	24
FTW	09 Jan 2008	01:30:02.780	Reinf	133.250	289.160	22100	1640	33 38 56.127 N	099 43 52.483 W	24
FTW	09 Jan 2008	01:30:02.830	Map		343.125					
FTW	09 Jan 2008	01:30:02.915	Reinf	69.375	297.949	22900	1101	33 28 49.445 N	098 26 20.342 W	24
FTW	09 Jan 2008	01:30:02.995	Reinf	35.250	297.686	36000	2523	33 12 44.750 N	097 49 52.351 W	24
FTW	09 Jan 2008	01:30:03.045	Reinf	160.125	299.619	36000	2430	34 13 58.084 N	100 00 51.987 W	24
FTW	09 Jan 2008	01:30:03.100	Reinf	84.125	305.244	24000	4155	33 44 46.458 N	098 35 28.411 W	24
FTW	09 Jan 2008	01:30:03.340	Reinf	130.625	312.275	29000	6072	34 23 40.835 N	099 09 51.149 W	24
FTW	09 Jan 2008	01:30:03.365	Reinf	141.500	312.715	29500	6657	34 31 39.706 N	099 18 53.128 W	24
FTW	09 Jan 2008	01:30:03.420	Bcn	71.250	315.791	6800	5104	33 47 35.097 N	098 12 48.490 W	24
FTW	09 Jan 2008	01:30:03.445	Bcn	6.125	315.791	9400	0560	33 00 56.186 N	097 18 08.708 W	24
FTW	09 Jan 2008	01:30:03.450	IPS							
FTW	09 Jan 2008	01:30:03.470	IPS							
FTW	09 Jan 2008	01:30:03.470	Status							
FTW	09 Jan 2008	01:30:03.525	IPS							
FTW	09 Jan 2008	01:30:03.555	Bcn	115.750	319.834	15300	5241	34 24 41.567 N	098 43 23.633 W	24
FTW	09 Jan 2008	01:30:03.575	Bcn	175.625	320.713	23300	2375	35 11 31.502 N	099 28 46.765 W	24
FTW	09 Jan 2008	01:30:03.580	Reinf	37.250	320.625	13300	6735	33 25 24.483 N	097 41 23.582 W	24
FTW	09 Jan 2008	01:30:03.635	Reinf	124.625	315.703	28400	0664	34 25 10.601 N	098 58 16.430 W	24
FTW	09 Jan 2008	01:30:03.635	Reinf	57.125	317.900	9300	4073	33 38 58.165 N	097 59 03.866 W	24
FTW	09 Jan 2008	01:30:03.660	Reinf	47.000	319.219	17600	0777	33 32 09.285 N	097 49 51.469 W	24
FTW	09 Jan 2008	01:30:03.660	Reinf	108.375	321.416	16300	5121	34 21 02.454 N	098 34 47.243 W	24
FTW	09 Jan 2008	01:30:03.685	Reinf	21.875	324.141	10800	2073	33 14 21.376 N	097 28 26.502 W	24
FTW	09 Jan 2008	01:30:03.740	Sch	107.875	321.152			34 20 19.058 N	098 34 50.829 W	12
FTW	09 Jan 2008	01:30:03.845	Bcn	65.000	332.314	75000	1274	33 53 06.742 N	097 48 46.417 W	24
FTW	09 Jan 2008	01:30:03.875	Sch	140.875	331.611			35 00 14.456 N	098 34 38.393 W	8
FTW	09 Jan 2008	01:30:03.955	Reinf	57.250	333.193	18900	6373	33 47 42.116 N	097 44 08.123 W	24
FTW	09 Jan 2008	01:30:03.980	Sch	11.625	335.391			33 07 12.686 N	097 18 57.248 W	16
FTW	09 Jan 2008	01:30:04.005	Reinf	69.500	332.754	23800	0525	33 58 20.681 N	097 51 23.398 W	24
FTW	09 Jan 2008	01:30:04.110	Bcn	169.875	340.312	22200	2204	35 36 27.370 N	098 23 19.647 W	24
FTW	09 Jan 2008	01:30:04.275	Reinf	7.250	343.740	10800	6557	33 03 26.766 N	097 15 33.690 W	24
FTW	09 Jan 2008	01:30:04.300	SRTQC	1.000	2.812			32 57 23.270 N	097 13 10.279 W	64
FTW	09 Jan 2008	01:30:04.325	Bcn	188.000	349.102	33000	2163	36 01 15.689 N	097 56 57.792 W	24
FTW	09 Jan 2008	01:30:04.380	Reinf	119.125	348.838	36000	1044	34 53 27.475 N	097 41 11.091 W	24
FTW	09 Jan 2008	01:30:04.410	Reinf	126.125	352.529	25000	3635	35 01 46.996 N	097 33 09.364 W	24
FTW	09 Jan 2008	01:30:04.485	IPS							
FTW	09 Jan 2008	01:30:04.515	IPS							
FTW	09 Jan 2008	01:30:04.535	IPS							
FTW	09 Jan 2008	01:30:04.535	Reinf	133.875	356.396	36000	2723	35 10 16.180 N	097 23 27.379 W	24
FTW	09 Jan 2008	01:30:04.700	Reinf	112.125	358.857	38000	4112	34 48 42.080 N	097 15 55.302 W	24
FTW	09 Jan 2008	01:30:04.725	Reinf	126.500	0.967	40000	3542	35 03 05.370 N	097 10 37.198 W	24
FTW	09 Jan 2008	01:30:04.750	Bcn	194.875	4.043	38000	2026	36 11 06.760 N	096 56 16.290 W	24
FTW	09 Jan 2008	01:30:04.915	Reinf	48.875	7.822	35000	0553	33 44 48.323 N	097 05 17.812 W	24
FTW	09 Jan 2008	01:30:04.940	Bcn	14.250	13.799	1300	1200	33 10 31.793 N	097 09 09.859 W	24
FTW	09 Jan 2008	01:30:05.070	Bcn	165.375	14.326	26800	2351	35 36 51.891 N	096 23 05.266 W	24
FTW	09 Jan 2008	01:30:05.125	Reinf	147.375	11.865	26000	3163	35 20 54.912 N	096 36 13.034 W	24
FTW	09 Jan 2008	01:30:05.155	Bcn	169.500	20.391	24700	2123	35 35 21.009 N	096 00 53.061 W	24
FTW	09 Jan 2008	01:30:05.235	Reinf	105.125	19.775	30600	0536	34 35 28.119 N	096 30 12.970 W	24
FTW	09 Jan 2008	01:30:05.260	Bcn	4.625	23.730	7700	3657	33 00 46.058 N	097 11 04.405 W	24
FTW	09 Jan 2008	01:30:05.285	Reinf	120.125	19.424	29600	2220	34 49 50.148 N	096 24 45.963 W	24
FTW	09 Jan 2008	01:30:05.390	Reinf	95.625	24.873	40000	0602	34 23 08.534 N	096 24 46.656 W	24
FTW	09 Jan 2008	01:30:05.445	Reinf	24.000	25.840	13100	3616	33 18 12.644 N	097 00 46.973 W	24
FTW	09 Jan 2008	01:30:05.450	IPS							
FTW	09 Jan 2008	01:30:05.475	IPS							
FTW	09 Jan 2008	01:30:05.475	Reinf	88.750	29.971	33300	2255	34 13 17.953 N	096 19 53.498 W	24
FTW	09 Jan 2008	01:30:05.495	IPS							
FTW	09 Jan 2008	01:30:05.555	Reinf	78.625	30.410	30200	2355	34 04 16.147 N	096 25 25.958 W	24
