Id	Date	Time	MsgType	Range	AzDegs	MC	M3	Lat	Lon	RL
QAZ	08 Jan 2008	22:00:01.185	Bcn	10.750	200.830	40000	3454	32 44 30.525 N	097 40 13.284 W	56
QAZ	08 Jan 2008	22:00:01.185	Bcn	58.875	203.643	57000	1200	31 59 10.551 N	098 03 59.434 W	40
QAZ	08 Jan 2008	22:00:01.290	Reinf	27.750	206.807	2300	1200	32 27 41.278 N	097 51 24.363 W	36
QAZ	08 Jan 2008	22:00:01.290	Sch	36.125	210.234			32 21 14.226 N	097 58 04.406 W	20
QAZ	08 Jan 2008	22:00:01.610	IPS							
QAZ	08 Jan 2008	22:00:01.720	Reinf	21.375	245.127	27900	5167	32 43 41.037 N	097 59 04.267 W	56
QAZ	08 Jan 2008	22:00:01.125	IPS							
QAZ	08 Jan 2008	22:00:01.145	IPS							
QAZ	08 Jan 2008	22:00:01.660	Reinf	30.750	247.852	4300	1200	32 40 49.721 N	098 10 20.991 W	40
QAZ	08 Jan 2008	22:00:01.930	Reinf	42.250	257.959	7900	5261	32 43 31.870 N	098 25 34.060 W	40
QAZ	08 Jan 2008	22:00:02.085	IPS							
QAZ	08 Jan 2008	22:00:02.105	IPS							
QAZ	08 Jan 2008	22:00:02.465	Reinf	51.500	301.729	34000	3625	33 19 17.674 N	098 28 32.876 W	56
QAZ	08 Jan 2008	22:00:02.570	IPS							
QAZ	08 Jan 2008	22:00:02.680	Sch	63.000	356.133			33 55 26.492 N	097 41 43.116 W	0
QAZ	08 Jan 2008	22:00:02.785	Sch	63.000	358.682			33 55 34.198 N	097 38 21.430 W	0
QAZ	08 Jan 2008	22:00:02.730	Sch	63.000	357.451			33 55 31.423 N	097 39 58.848 W	0
QAZ	08 Jan 2008	22:00:02.890	Reinf	53.750	337.500	3800	5130	33 42 13.296 N	098 01 16.052 W	56
QAZ	08 Jan 2008	22:00:02.995	Bcn	27.250	340.840	-1000	1275	33 18 17.910 N	097 47 17.257 W	40
QAZ	08 Jan 2008	22:00:03.210	Reinf	30.500	356.660	12100	5202	33 22 57.228 N	097 38 44.029 W	56
QAZ	08 Jan 2008	22:00:03.155	IPS							
QAZ	08 Jan 2008	22:00:03.170	IPS							
QAZ	08 Jan 2008	22:00:03.320	Reinf	52.625	11.514	5300	2334	33 44 09.424 N	097 24 01.491 W	40
QAZ	08 Jan 2008	22:00:03.425	Reinf	23.125	16.523	10800	3672	33 14 39.563 N	097 28 47.886 W	56
QAZ	08 Jan 2008	22:00:03.530	Reinf	21.250	25.225	5800	5233	33 11 45.032 N	097 25 50.134 W	56
QAZ	08 Jan 2008	22:00:03.635	Marker							
QAZ	08 Jan 2008	22:00:03.635	IPS							
QAZ	08 Jan 2008	22:00:03.635	Reinf	38.125	28.916	17600	6204	33 25 48.876 N	097 14 39.585 W	56
QAZ	08 Jan 2008	22:00:03.640	Reinf	20.375	37.266	10800	5737	33 08 41.282 N	097 21 58.695 W	56
QAZ	08 Jan 2008	22:00:03.745	Status							
QAZ	08 Jan 2008	22:00:03.850	Reinf	59.500	47.725	40000	2633	33 32 09.460 N	096 44 18.858 W	56
QAZ	08 Jan 2008	22:00:03.850	Sch	18.375	49.570			33 04 24.803 N	097 20 00.349 W	20
QAZ	08 Jan 2008	22:00:03.795	Reinf	44.125	47.021	20100	3442	33 22 27.702 N	096 58 11.425 W	56
QAZ	08 Jan 2008	22:00:03.795	Sch	9.375	47.637			32 58 48.245 N	097 28 25.852 W	0
QAZ	08 Jan 2008	22:00:03.810	Reinf	33.500	50.010	13100	2344	33 13 58.603 N	097 06 05.201 W	56
QAZ	08 Jan 2008	22:00:03.810	Sch	21.625	46.143			33 07 28.826 N	097 18 04.889 W	0
QAZ	08 Jan 2008	22:00:03.955	Reinf	20.375	53.613	10800	0670	33 04 33.398 N	097 17 10.194 W	56
QAZ	08 Jan 2008	22:00:03.900	Reinf	24.250	55.020	1600	1200	33 06 24.467 N	097 12 57.883 W	40
QAZ	08 Jan 2008	22:00:04.010	Reinf	20.250	69.521	1400	1200	32 59 34.841 N	097 14 03.817 W	40
QAZ	08 Jan 2008	22:00:04.065	Reinf	9.875	66.621	13900	3420	32 56 20.078 N	097 26 07.377 W	56
QAZ	08 Jan 2008	22:00:04.065	Reinf	24.625	70.137	7800	0524	33 00 50.274 N	097 09 06.753 W	56
QAZ	08 Jan 2008	22:00:04.025	Reinf	22.250	70.312	10800	1624	32 59 57.724 N	097 11 47.195 W	56
QAZ	08 Jan 2008	22:00:04.170	Bcn	3.125	76.465	-1000	1276	32 53 14.785 N	097 33 01.173 W	56
QAZ	08 Jan 2008	22:00:04.115	IPS							
QAZ	08 Jan 2008	22:00:04.115	Reinf	27.875	77.783	5000	6223	32 58 21.251 N	097 04 14.902 W	56
QAZ	08 Jan 2008	22:00:04.130	IPS							
QAZ	08 Jan 2008	22:00:04.130	Reinf	37.125	71.104	3300	4415	33 04 26.702 N	096 54 49.458 W	40
QAZ	08 Jan 2008	22:00:04.130	Reinf	31.125	77.871	4600	0570	32 58 58.783 N	097 00 27.214 W	56
QAZ	08 Jan 2008	22:00:04.275	Bcn	57.125	77.871	36000	3421	33 04 10.714 N	096 30 33.686 W	56
QAZ	08 Jan 2008	22:00:04.280	Reinf	40.000	84.463	1200	4656	32 56 14.077 N	096 49 18.712 W	40
QAZ	08 Jan 2008	22:00:04.220	Reinf	14.625	80.684	2800	5161	32 54 52.100 N	097 19 28.802 W	56
QAZ	08 Jan 2008	22:00:04.220	Reinf	35.750	85.869	10200	2253	32 54 58.469 N	096 54 18.699 W	56
QAZ	08 Jan 2008	22:00:04.235	Reinf	42.000	81.123	3200	3650	32 58 50.851 N	096 47 17.534 W	40
QAZ	08 Jan 2008	22:00:04.240	Reinf	48.375	86.484	2300	4660	32 55 16.169 N	096 39 15.584 W	40
QAZ	08 Jan 2008	22:00:04.385	Reinf	46.500	92.461	2700	1302	32 50 18.827 N	096 41 28.937 W	56
QAZ	08 Jan 2008	22:00:04.330	Reinf	22.250	92.549	9000	2662	32 51 28.876 N	097 10 17.234 W	56
QAZ	08 Jan 2008	22:00:04.345	Reinf	28.000	92.900	1000	7355	32 51 01.424 N	097 03 25.392 W	56
QAZ	08 Jan 2008	22:00:04.490	Reinf	35.375	96.504	8100	3223	32 48 23.369 N	096 54 57.011 W	56
QAZ	08 Jan 2008	22:00:04.490	Reinf	29.750	98.350	1800	5663	32 48 06.431 N	097 01 41.887 W	56
QAZ	08 Jan 2008	22:00:04.435	Reinf	31.125	98.525	12500	3473	32 47 48.944 N	097 00 11.102 W	56
QAZ	08 Jan 2008	22:00:04.435	Reinf	28.500	101.250	2400	0733	32 46 52.388 N	097 03 27.951 W	56
QAZ	08 Jan 2008	22:00:04.450	Reinf	38.625	99.053	2200	4643	32 46 17.489 N	096 51 22.910 W	40
QAZ	08 Jan 2008	22:00:04.595	IPS							
QAZ	08 Jan 2008	22:00:04.595	Reinf	34.625	104.766	3600	1175	32 43 34.285 N	096 56 56.145 W	56
QAZ	08 Jan 2008	22:00:04.600	Reinf	46.875	108.018	3800	3651	32 37 48.350 N	096 43 50.456 W	40
QAZ	08 Jan 2008	22:00:04.540	Reinf	42.875	109.775	1700	7334	32 37 49.835 N	096 48 50.617 W	56
QAZ	08 Jan 2008	22:00:04.560	Reinf	26.125	108.018	2900	5111	32 44 21.831 N	097 07 10.096 W	56
