Id	Date	Time	MsgType	Range	AzDegs	MC	M3	Lat	Lon	RL
QOO	09 Jan 2008	01:30:01.880	Bcn	105.250	177.539	36900	1365	30 57 09.924 N	099 47 34.771 W	24
QOO	09 Jan 2008	01:30:01.900	Bcn	120.250	176.924	38000	2575	30 42 12.575 N	099 45 21.244 W	24
QOO	09 Jan 2008	01:30:01.960	Bcn	116.125	177.187	32000	2763	30 46 14.995 N	099 46 13.210 W	24
QOO	09 Jan 2008	01:30:02.005	BRTQC	1.000	182.812	-1200	0000	32 41 25.663 N	099 52 52.306 W	64
QOO	09 Jan 2008	01:30:02.070	Clock Box							
QOO	09 Jan 2008	01:30:02.090	Clock Box							
QOO	09 Jan 2008	01:30:02.110	Clock Box							
QOO	09 Jan 2008	01:30:02.110	Bcn	119.625	185.010	38000	2574	30 43 06.841 N	100 04 54.728 W	24
QOO	09 Jan 2008	01:30:02.175	IPS							
QOO	09 Jan 2008	01:30:02.175	Bcn	88.500	183.252	24000	2570	31 13 52.379 N	099 58 40.073 W	24
QOO	09 Jan 2008	01:30:02.200	IPS							
QOO	09 Jan 2008	01:30:02.200	Bcn	112.250	184.395	36000	2766	30 50 21.801 N	100 02 47.360 W	24
QOO	09 Jan 2008	01:30:02.200	Bcn	134.375	187.031	24100	2250	30 28 44.282 N	100 11 50.094 W	24
QOO	09 Jan 2008	01:30:02.215	IPS							
QOO	09 Jan 2008	01:30:02.285	Bcn	87.750	187.031	28000	2420	31 15 10.371 N	100 05 19.652 W	24
QOO	09 Jan 2008	01:30:02.325	Bcn	82.125	190.371	16800	0752	31 21 23.343 N	100 10 04.272 W	24
QOO	09 Jan 2008	01:30:02.390	Bcn	69.125	190.371	10800	2275	31 34 10.464 N	100 07 22.753 W	24
QOO	09 Jan 2008	01:30:02.415	Bcn	29.500	192.568	27000	7212	32 13 44.645 N	100 00 18.494 W	24
QOO	09 Jan 2008	01:30:02.540	Clock Box							
QOO	09 Jan 2008	01:30:02.645	Bcn	113.000	199.512	40000	2756	30 55 41.615 N	100 36 35.102 W	24
QOO	09 Jan 2008	01:30:02.730	Bcn	137.375	200.742	38000	7223	30 33 34.058 N	100 49 03.422 W	24
QOO	09 Jan 2008	01:30:02.815	Bcn	98.875	199.775	32700	1152	31 09 08.834 N	100 31 43.144 W	24
QOO	09 Jan 2008	01:30:02.860	Bcn	109.125	207.773	36000	2463	31 05 30.785 N	100 51 54.312 W	24
QOO	09 Jan 2008	01:30:03.160	IPS							
QOO	09 Jan 2008	01:30:03.160	Bcn	23.375	216.035	6300	1200	32 23 20.747 N	100 09 02.970 W	10
QOO	09 Jan 2008	01:30:03.175	IPS							
QOO	09 Jan 2008	01:30:03.240	IPS							
QOO	09 Jan 2008	01:30:03.240	Bcn	125.500	216.123	34000	7261	31 00 22.962 N	101 18 45.190 W	24
QOO	09 Jan 2008	01:30:03.390	Bcn	19.375	220.518	34000	2330	32 28 05.854 N	100 07 06.952 W	24
QOO	09 Jan 2008	01:30:03.880	Bcn	50.375	235.107	28900	2746	32 13 23.654 N	100 41 18.057 W	24
QOO	09 Jan 2008	01:30:03.905	Bcn	165.625	235.986	34000	2717	31 07 51.796 N	102 32 34.066 W	24
QOO	09 Jan 2008	01:30:03.925	Bcn	155.500	237.480	30000	3737	31 17 03.460 N	102 25 39.712 W	24
QOO	09 Jan 2008	01:30:03.990	Bcn	147.625	240.557	34000	0754	31 28 10.500 N	102 22 55.734 W	24
QOO	09 Jan 2008	01:30:04.120	Bcn	153.375	241.348	36000	2552	31 27 03.641 N	102 29 56.093 W	24
QOO	09 Jan 2008	01:30:04.140	Bcn	184.375	244.248	30100	2457	31 19 35.601 N	103 06 31.492 W	24
QOO	09 Jan 2008	01:30:04.200	IPS							
QOO	09 Jan 2008	01:30:04.205	Bcn	86.375	244.687	33000	7267	32 04 49.293 N	101 24 29.206 W	24
QOO	09 Jan 2008	01:30:04.225	IPS							
QOO	09 Jan 2008	01:30:04.225	Bcn	76.750	245.654	8700	1534	32 10 08.759 N	101 15 10.488 W	24
QOO	09 Jan 2008	01:30:04.245	IPS							
QOO	09 Jan 2008	01:30:04.460	Bcn	132.750	254.531	33000	2677	32 05 21.682 N	102 23 12.182 W	24
QOO	09 Jan 2008	01:30:04.545	Bcn	135.500	255.234	34000	1166	32 06 09.676 N	102 26 50.721 W	24
QOO	09 Jan 2008	01:30:04.565	Bcn	148.625	255.850	23000	3625	32 03 59.986 N	102 42 17.982 W	24
QOO	09 Jan 2008	01:30:04.630	Bcn	182.625	255.146	34000	2241	31 52 34.691 N	103 19 54.875 W	24
QOO	09 Jan 2008	01:30:04.670	Bcn	168.875	261.826	38000	2336	32 15 41.343 N	103 09 41.628 W	24
QOO	09 Jan 2008	01:30:04.735	Bcn	99.750	258.750	38000	0501	32 21 57.664 N	101 48 01.391 W	24
QOO	09 Jan 2008	01:30:04.760	Bcn	106.000	260.332	31000	2675	32 23 28.525 N	101 56 01.028 W	24
QOO	09 Jan 2008	01:30:04.845	Bcn	100.375	262.266	36000	2210	32 27 52.394 N	101 50 05.963 W	24
QOO	09 Jan 2008	01:30:05.160	IPS							
QOO	09 Jan 2008	01:30:05.185	IPS							
QOO	09 Jan 2008	01:30:05.205	IPS							
QOO	09 Jan 2008	01:30:05.505	Bcn	23.375	284.941	5800	5102	32 48 16.648 N	100 19 36.052 W	24
QOO	09 Jan 2008	01:30:05.950	Bcn	60.250	297.422	9800	5267	33 09 48.497 N	100 56 29.859 W	24
QOO	09 Jan 2008	01:30:06.015	Bcn	146.625	297.686	30000	2312	33 48 51.430 N	102 28 28.374 W	24
QOO	09 Jan 2008	01:30:06.040	Bcn	200.250	298.037	30000	0542	34 13 30.283 N	103 25 48.334 W	24
QOO	09 Jan 2008	01:30:06.060	Bcn	97.375	302.432	33400	6265	33 33 51.328 N	101 30 57.401 W	24
