Id	Date	Time	MsgType	Range	AzDegs	MC	M3	Lat	Lon	RL
RSG	08 Jan 2008	22:00:01.540	IPS							
RSG	08 Jan 2008	22:00:01.560	IPS							
RSG	08 Jan 2008	22:00:01.560	Reinf	20.875	235.635	15200	4716	29 51 01.468 N	100 35 46.587 W	24
RSG	08 Jan 2008	22:00:01.625	IPS							
RSG	08 Jan 2008	22:00:01.865	Sch	30.875	246.182			29 50 14.301 N	100 48 31.520 W	12
RSG	08 Jan 2008	22:00:02.055	Reinf	205.500	250.137	36800	1705	28 49 49.056 N	103 55 53.184 W	24
RSG	08 Jan 2008	22:00:02.075	Reinf	31.750	251.895	5800	0510	29 52 49.890 N	100 50 46.371 W	24
RSG	08 Jan 2008	22:00:02.095	Bcn	58.000	254.531	2900	4540	29 47 01.714 N	101 20 18.181 W	24
RSG	08 Jan 2008	22:00:02.265	Reinf	10.750	254.443	33000	1331	30 00 14.297 N	100 26 35.678 W	24
RSG	08 Jan 2008	22:00:02.520	Sch	73.000	266.396			29 57 45.224 N	101 39 53.468 W	24
RSG	08 Jan 2008	22:00:02.585	IPS							
RSG	08 Jan 2008	22:00:02.610	IPS							
RSG	08 Jan 2008	22:00:02.610	Reinf	72.625	266.221	24000	4115	29 57 33.953 N	101 39 20.759 W	24
RSG	08 Jan 2008	22:00:02.630	IPS							
RSG	08 Jan 2008	22:00:03.440	Reinf	155.875	291.621	32900	3677	30 58 29.668 N	103 04 25.397 W	24
RSG	08 Jan 2008	22:00:03.480	Bcn	41.125	294.697	75000	1275	30 19 08.189 N	100 57 17.954 W	24
RSG	08 Jan 2008	22:00:03.545	IPS							
RSG	08 Jan 2008	22:00:03.570	IPS							
RSG	08 Jan 2008	22:00:03.570	Reinf	194.750	293.818	33000	1336	31 18 48.394 N	103 43 50.831 W	24
RSG	08 Jan 2008	22:00:03.590	IPS							
RSG	08 Jan 2008	22:00:03.590	Reinf	85.375	294.961	20000	7236	30 38 21.597 N	101 45 41.711 W	24
RSG	08 Jan 2008	22:00:03.650	Reinf	97.125	293.818	33000	1077	30 41 21.307 N	101 58 53.941 W	24
RSG	08 Jan 2008	22:00:03.675	Reinf	203.875	295.488	30100	2516	31 27 43.432 N	103 51 03.858 W	24
RSG	08 Jan 2008	22:00:03.695	Reinf	180.375	300.674	30000	2533	31 32 51.001 N	103 17 26.694 W	24
RSG	08 Jan 2008	22:00:03.760	Reinf	30.875	296.807	31000	1566	30 16 30.891 N	100 47 29.867 W	24
RSG	08 Jan 2008	22:00:03.785	Reinf	79.875	302.168	35900	2550	30 44 53.577 N	101 34 16.630 W	24
RSG	08 Jan 2008	22:00:03.975	Reinf	58.000	308.232	40000	4056	30 38 21.405 N	101 08 31.637 W	24
RSG	08 Jan 2008	22:00:04.015	Reinf	163.250	308.496	36000	1002	31 43 04.997 N	102 45 38.763 W	24
RSG	08 Jan 2008	22:00:04.080	Reinf	175.750	309.111	33000	6725	31 52 09.976 N	102 56 00.752 W	24
RSG	08 Jan 2008	22:00:04.100	Reinf	116.375	308.760	22000	7231	31 15 02.682 N	102 01 49.977 W	24
RSG	08 Jan 2008	22:00:04.120	SRTQC	1.000	0.000			30 03 42.909 N	100 16 04.300 W	64
RSG	08 Jan 2008	22:00:04.210	Status							
RSG	08 Jan 2008	22:00:04.400	Reinf	20.125	319.043	30000	7377	30 17 36.563 N	100 30 54.170 W	24
RSG	08 Jan 2008	22:00:04.440	Reinf	75.500	320.801	33900	4070	31 01 03.441 N	101 11 25.256 W	24
RSG	08 Jan 2008	22:00:04.530	Reinf	187.625	323.350	26300	3416	32 32 25.844 N	102 28 25.443 W	24
RSG	08 Jan 2008	22:00:04.550	IPS							
RSG	08 Jan 2008	22:00:04.610	IPS							
RSG	08 Jan 2008	22:00:04.615	Reinf	59.125	324.844	36000	7346	30 50 53.569 N	100 55 24.583 W	24
RSG	08 Jan 2008	22:00:04.635	IPS							
RSG	08 Jan 2008	22:00:04.635	Reinf	42.625	328.535	7900	0504	30 39 10.733 N	100 41 51.196 W	24
RSG	08 Jan 2008	22:00:04.655	Reinf	106.750	326.689	35000	7232	31 31 43.446 N	101 24 30.676 W	24
RSG	08 Jan 2008	22:00:04.825	Reinf	160.125	330.469	35000	1573	32 21 41.289 N	101 49 06.132 W	24
RSG	08 Jan 2008	22:00:04.870	Reinf	141.000	334.424	24100	2425	32 09 49.520 N	101 27 42.169 W	24
RSG	08 Jan 2008	22:00:04.935	Reinf	153.125	336.621	34000	3616	32 23 08.569 N	101 27 42.603 W	24
RSG	08 Jan 2008	22:00:04.955	Reinf	58.500	336.445	-99900	1200	30 56 28.061 N	100 43 14.311 W	24
RSG	08 Jan 2008	22:00:04.975	Reinf	23.875	336.797	8200	1200	30 24 45.600 N	100 26 56.309 W	24
RSG	08 Jan 2008	22:00:05.060	Reinf	137.375	338.906	32000	5315	32 10 51.527 N	101 14 13.971 W	24
RSG	08 Jan 2008	22:00:05.065	Reinf	96.125	341.104	15800	5253	31 33 48.136 N	100 52 28.819 W	24
RSG	08 Jan 2008	22:00:05.080	Bcn	137.375	339.697	35000	4146	32 11 31.083 N	101 12 08.447 W	24
RSG	08 Jan 2008	22:00:05.145	Reinf	96.250	339.434	24700	4057	31 32 53.757 N	100 55 34.963 W	24
RSG	08 Jan 2008	22:00:05.255	Reinf	53.250	346.641	34000	4076	30 54 25.106 N	100 30 17.522 W	24
RSG	08 Jan 2008	22:00:05.295	Reinf	95.125	347.520	40000	2777	31 35 33.498 N	100 40 03.759 W	24
RSG	08 Jan 2008	22:00:05.490	Reinf	93.625	352.090	11800	2726	31 35 41.093 N	100 31 08.937 W	24
RSG	08 Jan 2008	22:00:05.490	Reinf	196.250	354.287	40000	2251	33 18 11.087 N	100 39 20.133 W	24
RSG	08 Jan 2008	22:00:05.510	Reinf	164.125	354.111	24900	5255	32 46 15.156 N	100 36 01.092 W	24
RSG	08 Jan 2008	22:00:05.570	IPS							
RSG	08 Jan 2008	22:00:05.570	Reinf	167.875	353.408	23900	3676	32 49 45.915 N	100 38 54.950 W	24
RSG	08 Jan 2008	22:00:05.595	IPS							
RSG	08 Jan 2008	22:00:05.615	IPS							
RSG	08 Jan 2008	22:00:05.680	Marker							
RSG	08 Jan 2008	22:00:05.680	Reinf	105.625	358.066	17300	2373	31 48 31.403 N	100 20 15.025 W	24
RSG	08 Jan 2008	22:00:05.720	Reinf	73.250	359.209	33000	2664	31 15 58.305 N	100 17 14.861 W	24
RSG	08 Jan 2008	22:00:05.810	Reinf	65.375	0.703	34000	2714	31 08 03.123 N	100 15 08.445 W	24
RSG	08 Jan 2008	22:00:05.830	Reinf	49.750	3.340	32000	2731	30 52 17.717 N	100 12 43.381 W	24
RSG	08 Jan 2008	22:00:05.895	Reinf	145.375	2.900	38000	3462	32 28 03.088 N	100 07 23.664 W	24
RSG	08 Jan 2008	22:00:05.915	Reinf	42.750	5.713	30000	2735	30 45 09.356 N	100 11 09.903 W	24
RSG	08 Jan 2008	22:00:05.935	Bcn	91.750	9.229	32300	0673	31 33 20.504 N	099 58 53.493 W	24
RSG	08 Jan 2008	22:00:06.000	Reinf	216.000	6.152	47000	2210	33 37 36.792 N	099 48 24.642 W	24
RSG	08 Jan 2008	22:00:06.020	Reinf	149.250	7.471	39000	0650	32 30 48.895 N	099 53 10.178 W	24
RSG	08 Jan 2008	22:00:06.105	Reinf	198.375	10.283	36000	5151	33 18 03.630 N	099 33 53.538 W	24
RSG	08 Jan 2008	22:00:06.150	Reinf	88.875	11.250	37000	1712	31 29 52.550 N	099 55 51.258 W	24
RSG	08 Jan 2008	22:00:06.215	Reinf	124.625	14.854	32800	1445	32 03 14.637 N	099 38 32.893 W	24
RSG	08 Jan 2008	22:00:06.235	Reinf	69.375	14.062	16300	1200	31 10 09.379 N	099 56 26.663 W	24
RSG	08 Jan 2008	22:00:06.255	Reinf	138.750	15.381	35000	3705	32 16 32.579 N	099 32 44.620 W	24
RSG	08 Jan 2008	22:00:06.345	Reinf	137.625	18.369	23000	1644	32 13 25.381 N	099 24 59.997 W	24
RSG	08 Jan 2008	22:00:06.470	Reinf	43.500	24.521	21800	0503	30 42 18.401 N	099 55 11.944 W	24
RSG	08 Jan 2008	22:00:06.535	IPS							
RSG	08 Jan 2008	22:00:06.535	Reinf	216.750	24.434	34000	3625	33 19 38.251 N	098 29 13.807 W	24
RSG	08 Jan 2008	22:00:06.555	IPS							
RSG	08 Jan 2008	22:00:06.555	Reinf	136.500	26.279	33000	5232	32 04 57.761 N	099 05 03.390 W	24
RSG	08 Jan 2008	22:00:06.575	IPS							
RSG	08 Jan 2008	22:00:06.745	Reinf	147.500	28.389	0	2617	32 12 16.650 N	098 53 31.443 W	24
RSG	08 Jan 2008	22:00:06.790	Reinf	70.375	31.377	9100	2723	31 02 52.797 N	099 33 26.126 W	24
RSG	08 Jan 2008	22:00:06.855	Bcn	198.750	35.508	27900	5167	32 43 37.559 N	097 59 22.990 W	24
RSG	08 Jan 2008	22:00:06.875	Reinf	108.375	32.256	30700	2746	31 34 12.638 N	099 08 29.326 W	24
RSG	08 Jan 2008	22:00:07.000	Reinf	111.125	37.266	13800	4014	31 30 59.975 N	098 57 24.000 W	24
RSG	08 Jan 2008	22:00:07.090	Reinf	209.500	38.672	40000	3454	32 44 59.123 N	097 41 05.860 W	24
RSG	08 Jan 2008	22:00:07.175	Reinf	217.750	43.330	38000	1774	32 39 22.569 N	097 19 20.019 W	24
RSG	08 Jan 2008	22:00:07.215	Reinf	49.875	45.791	30000	4032	30 37 22.432 N	099 34 50.570 W	24
RSG	08 Jan 2008	22:00:07.305	Reinf	199.875	47.988	31300	2501	32 14 48.130 N	097 21 09.027 W	24
RSG	08 Jan 2008	22:00:07.385	Reinf	152.500	49.482	23000	4075	31 40 51.184 N	098 00 19.438 W	24
RSG	08 Jan 2008	22:00:07.430	Reinf	194.750	51.064	35000	4023	32 03 18.780 N	097 18 02.483 W	24
RSG	08 Jan 2008	22:00:07.495	Reinf	135.000	52.471	15200	3645	31 24 11.516 N	098 11 02.458 W	24
RSG	08 Jan 2008	22:00:07.515	Reinf	60.875	51.064	32000	2455	30 40 47.860 N	099 21 22.896 W	24
RSG	08 Jan 2008	22:00:07.535	IPS							
RSG	08 Jan 2008	22:00:07.535	Reinf	135.875	55.020	29000	2401	31 19 42.563 N	098 06 15.104 W	24
RSG	08 Jan 2008	22:00:07.600	IPS							
RSG	08 Jan 2008	22:00:07.620	IPS							
RSG	08 Jan 2008	22:00:07.625	Reinf	189.000	55.986	33000	2022	31 46 30.684 N	097 12 29.556 W	24
