status	retry_stage	kind	relative_path	url	error	failure_count	failed_at	next_retry_after	deferred_reason	stopped_at	stopped_reason
deferred	monthly	pdfs	pdfs/mil-source-reference-link.pdf	https://www.esd.whs.mil/Portals/54/Documents/DOPSR/Docs/dd1910.pdf	Unable to find page link for https://www.esd.whs.mil/Portals/54/Documents/DOPSR/Docs/dd1910.pdf	3		2026-08-09T01:59:58Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/09-f-1460.pdf	https://www.esd.whs.mil/Portals/54/Documents/FOID/Reading%20Room/Congressional_Correspondence/09-F-1460doc6_Congressional_correspondence_logs_from_July1_2008toJuly24_2009.pdf	Unable to find page link for https://www.esd.whs.mil/Portals/54/Documents/FOID/Reading%20Room/Congressional_Correspondence/09-F-1460doc6_Congressional_correspondence_logs_from_July1_2008toJuly24_2009.pdf	3		2026-08-09T01:59:58Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/100-series-general-office-records.pdf	https://www.esd.whs.mil/Portals/54/Documents/RPDD/RDS/100_Series_General_Office_Records.pdf	Unable to find page link for https://www.esd.whs.mil/Portals/54/Documents/RPDD/RDS/100_Series_General_Office_Records.pdf	3		2026-08-09T01:59:58Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/2009-letter.pdf	https://commons.wikimedia.org/wiki/File%3AReid_letter_2009_1532565293943_49621615_ver1.0.pdf	Unable to find page link for https://commons.wikimedia.org/wiki/File%3AReid_letter_2009_1532565293943_49621615_ver1.0.pdf	3		2026-08-09T01:59:58Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/2017-military-court-transcript.pdf	https://www.mc.mil/Portals/0/pdfs/KSM2/KSM%20II%20%28TRANS4Dec2017-MERGED%29.pdf	Unable to find page link for https://www.mc.mil/Portals/0/pdfs/KSM2/KSM%20II%20%28TRANS4Dec2017-MERGED%29.pdf	3		2026-08-09T01:59:58Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/age-of-the-document.pdf	https://www.rmda.army.mil/declassification/docs/FAQs_on_Mandatory_Declassification_Review2.pdf	Page.evaluate: Execution context was destroyed, most likely because of a navigation	3		2026-08-09T01:59:58Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/army-regulation-15-6.pdf	https://armypubs.army.mil/epubs/DR_pubs/DR_a/pdf/web/r15_6.pdf	Unable to find page link for https://armypubs.army.mil/epubs/DR_pubs/DR_a/pdf/web/r15_6.pdf	3		2026-08-09T01:59:58Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/b-lynn-wright.pdf	https://www.secnav.navy.mil/donhr/About/Senior-Executives/Biographies/Wright%2C%20L.pdf	Unable to find page link for https://www.secnav.navy.mil/donhr/About/Senior-Executives/Biographies/Wright%2C%20L.pdf	3		2026-08-09T01:59:58Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/command-and-control-c2-activities.pdf	https://www.doctrine.af.mil/Portals/61/documents/AFDP_3-30/AFDP%203-30-Command-and-Control.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-10T07:11:41Z	2026-08-09T07:11:41Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/current-intelligence-bulletin.pdf	https://www.cia.gov/readingroom/docs/CIA-RDP79T00975A002200380001-5.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-10T07:11:43Z	2026-08-09T07:11:43Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/dd-instruction-5230-09.pdf	https://www.esd.whs.mil/portals/54/documents/dd/issuances/dodd/523009p.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-10T07:11:43Z	2026-08-09T07:11:43Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/dd-instruction-5230-29.pdf	https://www.esd.whs.mil/Portals/54/Documents/DD/Issuances/dodi/523029p.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-10T07:11:43Z	2026-08-09T07:11:43Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/department-of-defense-instruction-dodi-5400-04.pdf	https://www.esd.whs.mil/portals/54/documents/dd/issuances/dodi/540004p.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-10T07:12:04Z	2026-08-09T07:12:04Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/df-2025-00021.pdf	https://www.dni.gov/files/documents/FOIA/DF-2025-00021-Immaculate-Constellation-descrp-from-UNCLASS-Press-22-Oct-2024.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-10T07:12:05Z	2026-08-09T07:12:05Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/doc-0000015452.pdf	https://www.cia.gov/readingroom/docs/DOC_0000015452.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-10T07:12:06Z	2026-08-09T07:12:06Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/dod-dictionary-of-military-and-associated-terms.pdf	https://www.jcs.mil/Portals/36/Documents/Doctrine/pubs/dictionary.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-10T07:12:06Z	2026-08-09T07:12:06Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/dod-manual-dodm-5110-04-m.pdf	https://www.esd.whs.mil/Portals/54/Documents/CMD/5110-04-m/511004vol2.PDF	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-10T07:12:07Z	2026-08-09T07:12:07Z	previous download failed; waiting before retry		
