status	document_id	bytes	sha256	relative_path	title	category	url
existing	18556	530349	fd38e4a0d5d88e6049b05d2711385c70782a7ded3ca8c04430e5388d15fa0555	documents/18556-17-november-1990.pdf	17 November 1990		https://drstevengreer.com/wp-content/uploads/2022/06/17-November-1990.pdf
existing	18558	570043	4e52a585502b295e1e4aada7cd614ceea72061eaae3711fe3377877cd9e4b766	documents/18558-19-ministry-of-defense-2007.pdf	19. Ministry of Defense 2007		https://drstevengreer.com/wp-content/uploads/2022/06/19.-Ministry-of-Defense-2007.pdf
existing	18560	1115206	0adf08dc8151a452a85712f529fc850ea72100b2905fb62543ae88e45155df34	documents/18560-1999-greer-reply-to-cni-news.pdf	1999 Greer reply to CNI news		https://drstevengreer.com/wp-content/uploads/2022/06/1999-Greer-reply-to-CNI-news.pdf
existing	18562	305079	c13bf03574555b8f1ea4faf8b31bef287991888bfa53b56e98a09d68b46eff36	documents/18562-1999-woolsey-petersen-letter.pdf	1999 Woolsey Petersen letter		https://drstevengreer.com/wp-content/uploads/2022/06/1999-Woolsey-Petersen-letter.pdf
existing	18554	3460223	072fdf352aa9c302c08ca578c0c325b6bdb79a9b75563e4e56afc378b2f33af5	documents/18554-1sirius-disclosure-poster-nobleed.pdf	1SIRIUS DISCLOSURE POSTER nobleed		https://drstevengreer.com/wp-content/uploads/2022/06/1SIRIUS-DISCLOSURE-POSTER-nobleed.pdf
existing	16837	626923	2e6ae37935df2cfa0661857b0a541fcc8a8ecc9531277bdaa6a5a8f4968091a2	documents/16837-a-harvest-of-fear.pdf	A Harvest of Fear	Dr Greer's Papers	https://drstevengreer.com/wp-content/uploads/2022/04/A-Harvest-of-Fear.pdf
existing	18566	123519	a69d7ed6295e53e78faab9ca58737e54ef07cfae921c0fbd331302add1a05b9c	documents/18566-abductions-not-all-that-glitters-is-gold.pdf	Abductions: Not All That Glitters Is Gold	Dr Greer's Papers	https://drstevengreer.com/wp-content/uploads/2022/06/Abductions-NotallthatGlitters.pdf
existing	18568	747809	42b169f70ea707fc633abb03d1dfd35579666961ff089edb0d5d03e41e46f35b	documents/18568-air-force-summary.pdf	Air Force Summary	Sighting of UFO Off The Newfoundland Coast – February 10, 1951	https://drstevengreer.com/wp-content/uploads/2022/06/Air-Force-Summary.pdf
existing	18572	251162	29d4b4fde849bcba286448bed42039196feef186cb7538365cafdfd52b70a5b8	documents/18572-ancient-dna-mutations.pdf	ancient DNA mutations		https://drstevengreer.com/wp-content/uploads/2022/06/ancient-DNA-mutations.pdf
existing	23872	514707	b3344fe6746e09951cd309b9b488e36f37a7df25ab34e212c3c6baebc977b276	documents/23872-animal-mutilations-and-the-ets.pdf	Animal “Mutilations” and the ETs	Dr Greer's Papers	https://drstevengreer.com/wp-content/uploads/2023/06/Animal-Mutilations-and-the-ETs-1.pdf
existing	26485	663067	9e3bf8b2d2151063d84b7b3b25f98741dc83d03c2e94c94c6bb6a2dfc29b5f7b	documents/26485-arv-testimony-by-michael-herrera.pdf	ARV Testimony by Michael Herrera	Disclosure Documents	https://drstevengreer.com/wp-content/uploads/2023/08/ARV-Testimony-October-2009.pdf
existing	18574	149720	64254435ce29ae143ecda28729c609e12b1dfafb8ea14ebc40d553a41f715bb7	documents/18574-beardenprecursor.pdf	BeardenPrecursor		https://drstevengreer.com/wp-content/uploads/2022/06/BeardenPrecursor.pdf
existing	18576	508769	07da24786733527746ad79d9d714b18741c6de4cdf6b798a1224255b92659bc1	documents/18576-beardensolution.pdf	BeardenSolution		https://drstevengreer.com/wp-content/uploads/2022/06/BeardenSolution.pdf
existing	18582	1117291	1eff72e37a2ca1e4652b2c3b3be33c2548d1e5b10dae4b22f6b9e3940dbfbde3	documents/18582-bond-u-map-with-directions.pdf	Bond U Map with Directions		https://drstevengreer.com/wp-content/uploads/2022/06/Bond-U-Map-with-Directions.pdf
existing	17398	617242	b462fde7cabe7fb9879cece9e3162c03ee48cf3810ec5b7ae0cd5087cd34ba27	documents/17398-briefing-for-president-clinton-by-steven-m-greer-md-1996.pdf	Briefing for President Clinton by Steven M. Greer, MD (1996)	Presidential Briefings	https://drstevengreer.com/wp-content/uploads/2022/05/Briefing-for-President-Clinton-by-Steven-M.-Greer-MD-1996.pdf
existing	17384	95659	c509b4aba9f144067277b4b91a10fe4401d7ae0500af931bdd68283f2f732a91	documents/17384-briefing-for-president-obama-by-steven-m-greer-md-2009.pdf	Briefing for President Obama by Steven M. Greer MD (2009)	Presidential Briefings	https://drstevengreer.com/wp-content/uploads/2022/05/obama-briefing-introduction.pdf
existing	18705	242260	cf9636528e5fc95d14158d10c9f90518664107516d715a4661abe02ce3ccfc8b	documents/18705-briefing-papers-prepared-for-outside-the-box-tech-theodore-loder.pdf	Briefing Papers Prepared for ‘Outside the Box’ Tech — Theodore Loder	Related Papers	https://drstevengreer.com/wp-content/uploads/2022/06/OutsideTheBox-TedLoderPaper.pdf
